Flight No.,"Date and
time (UTC)","Version,
booster","Launch
site",Payload,Payload mass,Orbit,Customer,"Launch
outcome","Booster
landing"
237,"7 July 2023
19:29","F9 B5
B1063.12","Vandenberg, SLC‑4E",Starlink: Group 5-13 (48 satellites),"~14,900 kg (32,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
237,"Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight."
238,"10 July 2023
03:58","F9 B5
B1058.16","Cape Canaveral, SLC‑40",Starlink: Group 6-5 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
238,"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times."
239,"16 July 2023
03:50","F9 B5
B1060.16","Cape Canaveral, SLC‑40",Starlink: Group 5-15 (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
239,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.
240,"20 July 2023
04:09","F9 B5
B1071.10","Vandenberg, SLC‑4E",Starlink: Group 6-15 (15 satellites),"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
240,"Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight."
241,"24 July 2023
00:50","F9 B5
B1076.6","Cape Canaveral, SLC‑40",Starlink: Group 6-6 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
241,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
242,"28 July 2023
04:01","F9 B5
B1062.15","Cape Canaveral, SLC‑40",Starlink: Group 6-7 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
242,"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244."
FH 7,"29 July 2023
03:04","Falcon Heavy B5
B1074 (core)","Kennedy, LC‑39A",Jupiter-3 (EchoStar-24),"~9,200 kg (20,300 lb)",GTO,EchoStar,Success,No attempt
FH 7,"29 July 2023
03:04",B1064.3 (side),"Kennedy, LC‑39A",Jupiter-3 (EchoStar-24),"~9,200 kg (20,300 lb)",GTO,EchoStar,Success,Success (LZ‑1)
FH 7,"29 July 2023
03:04",B1065.3 (side),"Kennedy, LC‑39A",Jupiter-3 (EchoStar-24),"~9,200 kg (20,300 lb)",GTO,EchoStar,Success,Success (LZ‑2)
FH 7,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.,Largest and heaviest geostationary communication satellite ever launched. Both side boosters returned to the launch site while the center core was expended. First second stage featuring Falcon medium coast mission-extension kit.
243,"3 August 2023
05:00","F9 B5
B1077.6","Cape Canaveral, SLC‑40",Galaxy 37,"~5,063 kg (11,162 lb)",GTO,Intelsat,Success,Success (JRTI)
243,"Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.","Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37. Launch was previously awarded to Arianespace. Also known as Galaxy 13R, as it replaced Galaxy 13. The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed."
244,"7 August 2023
02:41","F9 B5
B1078.4","Cape Canaveral, SLC‑40",Starlink: Group 6-8 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
244,"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.","Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad."
245,"8 August 2023
03:57","F9 B5
B1075.5","Vandenberg, SLC‑4E",Starlink: Group 6-20 (15 satellites),"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
245,"Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.","Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight."
246,"11 August 2023
05:17","F9 B5
B1069.9","Cape Canaveral, SLC‑40",Starlink: Group 6-9 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
246,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).
247,"17 August 2023
03:36","F9 B5
B1067.13","Cape Canaveral, SLC‑40",Starlink: Group 6-10 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
247,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
248,"22 August 2023
09:37","F9 B5
B1061.15","Vandenberg, SLC‑4E",Starlink: Group 7-1 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
248,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.
249,"26 August 2023
07:27","F9 B5
B1081.1","Kennedy, LC‑39A",Crew-7 (Crew Dragon C210.3 Endurance),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS),Success,Success (LZ‑1)
