Flight No.,"Date and
time (UTC)","Version,
booster","Launch
site",Payload,Payload mass,Orbit,Customer,"Launch
outcome","Booster
landing"
355,"27 July 2024
05:45","F9 B5
B1069.17","Kennedy, LC‑39A",Starlink: Group 10-9 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
355,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.
356,"28 July 2024
05:09","F9 B5
B1077.14","Cape Canaveral, SLC‑40",Starlink: Group 10-4 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
356,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.
357,"28 July 2024
09:22","F9 B5
B1071.17","Vandenberg, SLC‑4E",Starlink: Group 9-4 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (OCISLY)
357,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
358,"2 August 2024
05:01","F9 B5
B1078.12","Kennedy, LC‑39A",Starlink: Group 10-6 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
358,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.
359,"4 August 2024
07:24","F9 B5
B1082.6","Vandenberg, SLC‑4E",Starlink: Group 11-1 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
359,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.
360,"4 August 2024
15:02","F9 B5
B1080.10","Cape Canaveral, SLC‑40",CRS NG-21,"3,857 kg (8,503 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1)
360,"Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Second of three launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements."
361,"10 August 2024
12:50","F9 B5
B1067.21","Cape Canaveral, SLC‑40",Starlink: Group 8-3 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI)
361,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
362,"12 August 2024
02:02","F9 B5
B1061.22","Vandenberg, SLC‑4E",ASBM 1 (GX 10A) & ASBM 2 (GX 10B),"~7,230 kg (15,940 lb)",Molniya,Space Norway,Success,Success (OCISLY)
362,"Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time.","Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites. Second booster to fly for the 22nd time."
363,"12 August 2024
10:37","F9 B5
B1073.17","Kennedy, LC‑39A",Starlink: Group 10-7 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
363,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.
364,"15 August 2024
13:00","F9 B5
B1076.16","Cape Canaveral, SLC‑40",WorldView Legion 3 & 4,"1,500 kg (3,300 lb)",LEO,Maxar Technologies,Success,Success (LZ‑1)
364,Maxar Technologies built satellites.,Maxar Technologies built satellites.,Maxar Technologies built satellites.,Maxar Technologies built satellites.,Maxar Technologies built satellites.,Maxar Technologies built satellites.,Maxar Technologies built satellites.,Maxar Technologies built satellites.,Maxar Technologies built satellites.
365,"16 August 2024
18:56","F9 B5
B1075.12","Vandenberg, SLC-4E",Transporter-11 (116 payload smallsat rideshare),Unknown,SSO,Various,Success,Success (LZ‑4)
365,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Fifth time a second stage featured Falcon medium coast mission-extension kit.
366,"20 August 2024
13:20","F9 B5
B1085.1","Cape Canaveral, SLC‑40",Starlink: Group 10-5 (23 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
366,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.
367,"28 August 2024
07:48","F9 B5
B1062.23","Cape Canaveral, SLC‑40",Starlink: Group 8-6 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Failure (ASOG)
367,"Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.","Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform. The FAA required SpaceX to investigate the landing failure. On Aug. 30, the FAA approved the request for SpaceX to return Falcon 9 to launch."
368,"31 August 2024
07:43","F9 B5
B1069.18","Cape Canaveral, SLC‑40",Starlink: Group 8-10 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
368,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
369,"31 August 2024
08:48","F9 B5
B1081.9","Vandenberg, SLC-4E",Starlink: Group 9-5 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
369,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight."
370,"5 September 2024
15:33","F9 B5
B1077.15","Cape Canaveral, SLC‑40",Starlink: Group 8-11 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
370,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
371,"6 September 2024
03:20","F9 B5
B1063.20","Vandenberg, SLC‑4E",NROL-113 (21 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY)
